rank,package_name,downloads,status,phantom_count,phantom_deps,total_imports,total_declared
923,unstructured-client,12671466,success,2,"pydantic_core,typing_extensions",6,7
924,jupyter,12642843,no_repo,0,,0,0
925,thrift-sasl,12631481,success,1,cstringio,3,3
926,webdriver-manager,12622393,success,0,,3,3
927,jupyter-console,12576733,no_repo,0,,0,0
928,pydantic-extra-types,12510377,success,3,"bson,pydantic_core,zoneinfo",12,12
929,factory-boy,12445339,success,4,"django,factory,pil,sqlalchemy",4,1
930,mypy-boto3-batch,12405147,success,6,"aioboto3,aiobotocore,mypy_boto3_builder,mypy_boto3_s3,types_aiobotocore_s3,types_boto3_s3",15,14
931,flask-appbuilder,12315547,success,30,"app,authlib,config,dateutil,flask,flask_babel,flask_jwt_extended,flask_limiter,flask_login,flask_mail,flask_sqlalchemy,flask_wtf,jinja2,jmespath,jsonschema,jwt,ldap,markupsafe,marshmallow,marshmallow_sqlalchemy,migrate,packaging,pil,prison,requests,sqlalchemy,sqlalchemy_utils,typing_extensions,werkzeug,wtforms",31,1
932,azure-monitor-opentelemetry-exporter,12311686,clone_failed,0,,0,0
933,jax,12306645,success,27,"absl,cloudpickle,cupy,etils,filelock,flatbuffers,google,ipython,jax_cuda12_plugin,jax_cuda13_plugin,jax_plugins,jaxlib,kubernetes,libtpu,matplotlib,mlir,mpi4py,nvidia,nvtx,requests,rich,tensorflow,tensorstore,torch,web_pdb,xprof,zstandard",31,5
934,cachelib,12243503,success,8,"boto3,google,libmc,memcache,pylibmc,pymongo,redis,uwsgi",8,0
935,meson,12227532,success,13,"cythonargs,gi,gluon,lxml,mesonbuild,pefile,pyinstaller,run_tests,storer,tachyon,tqdm,truststore,typing_extensions",13,0
936,azure-mgmt-cosmosdb,12159482,clone_failed,0,,0,0
937,scp,12136309,success,0,,1,1
938,cyclopts,12126082,success,1,pydantic_core,9,24
939,junitparser,12111476,success,1,lxml,1,0
940,datetime,12109342,success,2,"app,zope",3,2
941,openapi-pydantic,12055113,success,1,pydantic_core,2,1
942,beartype,12048145,success,2,"annotationlib,yappi",4,36
943,trino,12030638,success,5,"gssapi,requests_gssapi,requests_kerberos,sqlalchemy,zoneinfo",11,7
944,timm,12018529,success,22,"apex,clu,datasets,functorch,gluoncv,inplace_abn,jax,ml_dtypes,mxnet,numpy,onnx,onnxruntime,opt_einsum,pandas,pil,scipy,sklearn,tensorflow,tensorflow_datasets,typing_extensions,wandb,webdataset",26,5
945,pysftp,11971191,no_repo,0,,0,0
946,sh,11936263,success,0,,0,0
947,bidict,11930491,success,0,,0,0
948,mkdocs-material,11845654,success,15,"babel,backrefs,cairosvg,colorama,jieba,jinja2,markdown,material,mergedeep,mkdocs,paginate,pil,pymdownx,requests,watchdog",15,7
949,appnope,11841321,success,0,,0,0
