rank,package_name,downloads,status,phantom_count,phantom_deps,total_imports,total_declared,repo_url
404,elasticsearch,42469899,success,5,"click,elasticsearch8,opentelemetry,trio,urllib3",25,36,https://github.com/elastic/elasticsearch-py
405,opentelemetry-exporter-prometheus,42443436,success,10,"git,google,griffe,jinja2,opentelemetry,psutil,pytest,readme-renderer,toml,tox",20,31,https://github.com/open-telemetry/opentelemetry-python
406,nvidia-curand-cu12,42441987,no_repo,0,,0,0,
407,jupyterlab,42394345,success,5,"hatch-jupyter-builder,jupyter-collaboration,jupyterhub,jupyterlab-translate,polib",21,52,https://github.com/jupyterlab/jupyterlab
408,google-cloud-resource-manager,42273410,clone_failed,0,,0,0,https://github.com/googleapis/google-cloud-python
409,nvidia-cufft-cu12,42173990,no_repo,0,,0,0,
410,selenium,42171578,no_repo,0,,0,0,
411,nvidia-cuda-nvrtc-cu12,42143679,no_repo,0,,0,0,
412,google-cloud-workflows,42122320,clone_failed,0,,0,0,https://github.com/googleapis/google-cloud-python
413,xlrd,41896465,no_repo,0,,0,0,
414,nvidia-cuda-cupti-cu12,41792791,no_repo,0,,0,0,
415,nvidia-nvjitlink-cu12,41498812,no_repo,0,,0,0,
416,pyrsistent,41496555,success,2,"distutils,pvectorc",5,12,https://github.com/tobgu/pyrsistent
417,botocore-stubs,41327553,success,0,,1,2,https://github.com/youtype/botocore-stubs
418,google-cloud-language,41250765,clone_failed,0,,0,0,https://github.com/googleapis/google-cloud-python
419,gcsfs,41249397,success,3,"click,fuse,google",10,18,https://github.com/fsspec/gcsfs
420,faker,40877478,success,3,"pillow,setuptools,xmltodict",5,0,https://github.com/joke2k/faker
421,cssselect2,40670765,success,0,,2,6,https://github.com/Kozea/cssselect2
422,structlog,40653222,success,5,"better-exceptions,colorama,greenlet,rich,zope",8,1,https://github.com/hynek/structlog
423,types-awscrt,40638412,success,1,awscrt,1,0,https://github.com/youtype/types-awscrt
424,json5,40624228,success,0,,1,0,https://github.com/dpranke/pyjson5
425,flatbuffers,40555154,success,17,"cpp,csharp,dart,go,imp,java,kotlin,lobster,lua,mygame,nim,numpy,php,rust,scripts,setuptools,ts",24,0,https://github.com/google/flatbuffers
426,google-cloud-dataform,40454256,clone_failed,0,,0,0,https://github.com/googleapis/google-cloud-python
427,pandocfilters,40427205,success,2,"distutils,setuptools",2,0,https://github.com/jgm/pandocfilters
428,jupyterlab-pygments,40278801,success,1,pygments,2,0,https://github.com/jupyterlab/jupyterlab_pygments
429,absl-py,40078578,success,0,,1,0,https://github.com/abseil/abseil-py
430,xxhash,39957224,success,1,setuptools,1,0,https://github.com/ifduyue/python-xxhash
431,google-cloud-videointelligence,39918572,clone_failed,0,,0,0,https://github.com/googleapis/google-cloud-python
432,confluent-kafka,39882990,clone_failed,0,,21,0,https://github.com/confluentinc/confluent-kafka-python
433,types-s3transfer,39876530,clone_failed,0,,1,0,https://github.com/youtype/types-s3transfer
434,types-protobuf,39821466,success,1,urllib3,5,9,https://github.com/typeshed-internal/stub_uploader
435,types-pyyaml,39735766,success,1,urllib3,5,9,https://github.com/typeshed-internal/stub_uploader
436,nvidia-cuda-runtime-cu12,39469548,no_repo,0,,0,0,
437,google-cloud-os-login,39397143,clone_failed,0,,0,0,https://github.com/googleapis/google-cloud-python
438,deprecation,39383955,success,2,"packaging,setuptools",3,0,https://github.com/briancurtin/deprecation
439,psycopg2,39219701,success,3,"better,distutils,setuptools",6,23,https://github.com/psycopg/psycopg2
440,colorlog,39069219,success,2,"colorama,setuptools",3,0,https://github.com/borntyping/python-colorlog
441,plotly,39031032,clone_failed,0,,0,0,https://github.com/plotly/plotly.py
442,altair,38945258,clone_failed,0,,21,42,https://github.com/vega/altair
443,boto3-stubs,38597784,clone_failed,0,,15,14,https://github.com/youtype/mypy_boto3_builder
444,croniter,38472392,success,1,pytz,2,1,https://github.com/pallets-eco/croniter
445,google-cloud-appengine-logging,38396587,clone_failed,0,,0,0,https://github.com/googleapis/google-cloud-python
446,overrides,38333815,clone_failed,0,,0,1,https://github.com/mkorpela/overrides
447,responses,38329276,clone_failed,0,,3,3,https://github.com/getsentry/responses
448,google-cloud-redis,38227982,clone_failed,0,,0,0,https://github.com/googleapis/google-cloud-python
449,sse-starlette,37954631,success,1,exceptiongroup,5,9,https://github.com/sysid/sse-starlette
450,db-dtypes,37898093,clone_failed,0,,4,0,https://github.com/googleapis/google-cloud-python
451,pytokens,37829882,success,1,mypyc,3,9,https://github.com/tusharsadhwani/pytokens
