seed,usingPackage,usingVersion,phantomName,phantomVersion
vega-parser,vega-time,3.1.0,d3-time,3.1.0
vega-parser,vega-functions,6.1.0,d3-dsv,3.0.1
vega-parser,vega-functions,6.1.0,topojson-client,3.1.0
vega-parser,vega-functions,6.1.0,d3-array,3.2.4
vega-parser,vega-functions,6.1.0,d3-format,3.1.0
vega-parser,vega-functions,6.1.0,d3-time,3.1.0
vega-parser,vega-functions,6.1.0,d3-time-format,4.1.0
vega-parser,vega-functions,6.1.0,d3-shape,3.2.0
vega-parser,vega-functions,6.1.0,d3-path,3.1.0
vega-parser,vega-functions,6.1.0,d3-scale,4.0.2
vega-parser,vega-functions,6.1.0,d3-interpolate,3.0.1
vega-parser,vega-functions,6.1.0,d3-geo,3.1.1
vega-parser,vega-functions,6.1.0,d3-color,3.1.0
vega-parser,vega-selections,6.1.2,d3-array,3.2.4
vega-parser,vega-scenegraph,5.1.0,d3-dsv,3.0.1
vega-parser,vega-scenegraph,5.1.0,topojson-client,3.1.0
vega-parser,vega-scenegraph,5.1.0,d3-array,3.2.4
vega-parser,vega-scenegraph,5.1.0,d3-format,3.1.0
vega-parser,vega-scenegraph,5.1.0,d3-time,3.1.0
vega-parser,vega-scenegraph,5.1.0,d3-time-format,4.1.0
vega-parser,vega-scenegraph,5.1.0,d3-shape,3.2.0
vega-parser,vega-scenegraph,5.1.0,d3-path,3.1.0
vega-parser,vega-scenegraph,5.1.0,d3-scale,4.0.2
vega-parser,vega-scenegraph,5.1.0,d3-interpolate,3.0.1
vega-parser,vega-scenegraph,5.1.0,d3-color,3.1.0
vega-parser,vega-loader,5.1.0,d3-dsv,3.0.1
vega-parser,vega-loader,5.1.0,topojson-client,3.1.0
vega-parser,vega-loader,5.1.0,d3-array,3.2.4
vega-parser,vega-loader,5.1.0,d3-format,3.1.0
vega-parser,vega-loader,5.1.0,d3-time,3.1.0
vega-parser,vega-loader,5.1.0,d3-time-format,4.1.0
vega-parser,vega-format,2.1.0,d3-array,3.2.4
vega-parser,vega-format,2.1.0,d3-format,3.1.0
vega-parser,vega-format,2.1.0,d3-time,3.1.0
vega-parser,vega-format,2.1.0,d3-time-format,4.1.0
vega-parser,vega-dataflow,6.1.0,d3-dsv,3.0.1
vega-parser,vega-dataflow,6.1.0,topojson-client,3.1.0
vega-parser,vega-dataflow,6.1.0,d3-array,3.2.4
vega-parser,vega-dataflow,6.1.0,d3-format,3.1.0
vega-parser,vega-dataflow,6.1.0,d3-time,3.1.0
vega-parser,vega-dataflow,6.1.0,d3-time-format,4.1.0
vega-scale,vega-scale,8.1.0,d3-array,3.2.4
vega-scale,vega-scale,8.1.0,d3-format,3.1.0
vega-scale,vega-scale,8.1.0,d3-time,3.1.0
vega-scale,vega-scale,8.1.0,d3-time-format,4.1.0
vega-scale,vega-scale,8.1.0,d3-scale,4.0.2
vega-scale,vega-scale,8.1.0,d3-interpolate,3.0.1
vega-scale,vega-scale,8.1.0,d3-color,3.1.0
vega-scale,vega-time,3.1.0,d3-array,3.2.4
vega-scale,vega-time,3.1.0,d3-time,3.1.0
@vue/cli-plugin-unit-jest,jest-watch-typeahead,3.0.1,@jest/test-result,30.2.0
testem,testem,3.16.0,ws,8.18.3
@astrojs/language-server,yaml-language-server,1.19.2,vscode-languageserver-protocol,3.17.5
@orval/swr,@stoplight/spectral-core,1.20.0,es-aggregate-error,1.0.14
@orval/swr,@stoplight/spectral-core,1.20.0,lodash,4.17.21
@orval/swr,@stoplight/spectral-ref-resolver,1.0.5,lodash,4.17.21
@orval/swr,@stoplight/spectral-runtime,1.1.4,lodash,4.17.21
@orval/swr,@stoplight/spectral-parsers,1.0.5,lodash,4.17.21
@orval/swr,@stoplight/spectral-rulesets,1.22.0,es-aggregate-error,1.0.14
@orval/swr,@stoplight/spectral-rulesets,1.22.0,lodash,4.17.21
@orval/swr,@stoplight/spectral-functions,1.10.1,es-aggregate-error,1.0.14
@orval/swr,@stoplight/spectral-functions,1.10.1,lodash,4.17.21
@orval/swr,@stoplight/spectral-formats,1.8.2,es-aggregate-error,1.0.14
@orval/swr,@stoplight/spectral-formats,1.8.2,lodash,4.17.21
@appium/base-driver,@appium/base-driver,10.1.1,axios,1.13.2
@appium/base-driver,@appium/base-driver,10.1.1,lodash,4.17.21
@appium/base-driver,@appium/types,1.1.1,lodash,4.17.21
@appium/base-driver,@appium/logger,2.0.2,lodash,4.17.21
@appium/base-driver,@appium/support,7.0.3,axios,1.13.2
@appium/base-driver,@appium/support,7.0.3,lodash,4.17.21
@swagger-api/apidom-parser-adapter-openapi-json-2,@swagger-api/apidom-parser-adapter-openapi-json-2,1.0.0-rc.3,ramda,0.32.0
@swagger-api/apidom-parser-adapter-openapi-json-2,@swagger-api/apidom-parser-adapter-openapi-json-2,1.0.0-rc.3,ramda-adjunct,5.1.0
@swagger-api/apidom-parser-adapter-openapi-json-2,@swagger-api/apidom-parser-adapter-json,1.0.0-rc.3,ramda,0.32.0
@swagger-api/apidom-parser-adapter-openapi-json-2,@swagger-api/apidom-parser-adapter-json,1.0.0-rc.3,ramda-adjunct,5.1.0
@swagger-api/apidom-parser-adapter-openapi-json-2,@swagger-api/apidom-core,1.0.0-rc.3,ramda,0.32.0
@swagger-api/apidom-parser-adapter-openapi-json-2,@swagger-api/apidom-core,1.0.0-rc.3,ramda-adjunct,5.1.0
@swagger-api/apidom-parser-adapter-openapi-json-2,@swagger-api/apidom-ast,1.0.0-rc.3,ramda,0.32.0
@swagger-api/apidom-parser-adapter-openapi-json-2,@swagger-api/apidom-ast,1.0.0-rc.3,ramda-adjunct,5.1.0
@swagger-api/apidom-parser-adapter-openapi-json-2,@swagger-api/apidom-ns-openapi-2,1.0.0-rc.3,ramda,0.32.0
@swagger-api/apidom-parser-adapter-openapi-json-2,@swagger-api/apidom-ns-openapi-2,1.0.0-rc.3,ramda-adjunct,5.1.0
@swagger-api/apidom-parser-adapter-openapi-json-2,@swagger-api/apidom-ns-json-schema-draft-4,1.0.0-rc.3,ramda,0.32.0
@swagger-api/apidom-parser-adapter-openapi-json-2,@swagger-api/apidom-ns-json-schema-draft-4,1.0.0-rc.3,ramda-adjunct,5.1.0
@lerna/version,@lerna/version,6.6.2,@nx/devkit,22.1.1
@lerna/version,@lerna/version,6.6.2,fs-extra,11.3.2
@lerna/version,@lerna/version,6.6.2,chalk,5.6.2
