packageName,rank,downloads,phantomCount,vulnerablePhantomCount,phantomDeps
apache-airflow-providers-cncf-kubernetes,704,19873275,67,7,airflow-client;airflow-shared;anyio;arango;attr;bson;certifi;colorama;daemon;datamodel-code-generator;docx;dotenv;elastic-transport;fastapi-cli;flask-babel;flask-jwt-extended;gcloud;github3;googleapiclient;gremlin-python;httpcore;influxdb-client-3;jpype;jupyter-client;pyjwt;kiota-abstractions;kiota-authentication-azure;kiota-http;kiota-serialization-json;kiota-serialization-text;kombu;langchain-community;langchain-core;langchain-text-splitters;ldap;llama-index;markupsafe;msal;msrest;msrestazure;mypy-boto3-appflow;mypy-boto3-rds;mypy-boto3-redshift-data;mypy-boto3-s3;mypy-boto3-verifiedpermissions;mysqldb;odps;onelogin;openapi-spec-validator;opensearchpy;performance-dags;prestodb;proto;psycopg2;pydantic-core;pymysql;pytz;requests-gssapi;slugify;smbclient;thrift;traitlets;unit;upath;vertex-ray;vertexai;watchfiles
dbt-extractor,705,19850677,1,0,tree-sitter
gym-notices,706,19725017,0,0,
apache-airflow-providers-snowflake,707,19724949,67,7,airflow-client;airflow-shared;anyio;arango;attr;bson;certifi;colorama;daemon;datamodel-code-generator;docx;dotenv;elastic-transport;fastapi-cli;flask-babel;flask-jwt-extended;gcloud;github3;googleapiclient;gremlin-python;httpcore;influxdb-client-3;jpype;jupyter-client;pyjwt;kiota-abstractions;kiota-authentication-azure;kiota-http;kiota-serialization-json;kiota-serialization-text;kombu;langchain-community;langchain-core;langchain-text-splitters;ldap;llama-index;markupsafe;msal;msrest;msrestazure;mypy-boto3-appflow;mypy-boto3-rds;mypy-boto3-redshift-data;mypy-boto3-s3;mypy-boto3-verifiedpermissions;mysqldb;odps;onelogin;openapi-spec-validator;opensearchpy;performance-dags;prestodb;proto;psycopg2;pydantic-core;pymysql;pytz;requests-gssapi;slugify;smbclient;thrift;traitlets;unit;upath;vertex-ray;vertexai;watchfiles
msgspec,708,19661376,11,4,attrs;cattrs;mashumaro;orjson;ormsgpack;pydantic;rapidjson;requests;simdjson;typing-extensions;ujson
semgrep,709,19637026,7,5,attr;github;httpx;pyjwt;pydantic;pyyaml;starlette
opentelemetry-instrumentation-logging,710,19625186,16,3,agents;aiormq;astor;billiard;elastic-transport;gevent;langchain-core;mcp;multidict;mysqldb;readme-renderer;snappy;tomli;tomli-w;tortoise;yarl
jira,711,19622726,1,0,magic
hyperlink,712,19607849,1,1,idna
linkify-it-py,714,19578020,1,0,uc-micro
python-telegram-bot,715,19553027,2,0,chango;pytz
opencv-python-headless,716,19549956,3,0,auditwheel;packaging;skbuild
envier,717,19495437,0,0,
pyright,720,19416731,2,0,nodejs-wheel;packaging
mysqlclient,721,19368564,0,0,
types-setuptools,722,19277284,1,1,urllib3
uc-micro-py,723,19198629,0,0,
flask-sqlalchemy,724,19037936,0,0,
pypdf2,725,19024792,1,0,rich
flask-limiter,729,18906790,2,1,click;werkzeug
tree-sitter,730,18829766,0,0,
